state,locality,postcode_range,situation,range_type,page,fetched_from,fetched_date,url_fetched_from
AL,Barra de São Miguel,57180-000 a 57199-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Batalha,57420-000 a 57424-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Belo Monte,57435-000 a 57439-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Belém,57630-000 a 57634-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Boca da Mata,57680-000 a 57689-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Branquinha,57830-000 a 57839-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Cacimbinhas,57570-000 a 57579-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Cajueiro,57770-000 a 57779-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Campestre,57968-000 a 57969-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Campo Alegre,57250-000 a 57254-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Campo Grande,57350-000 a 57359-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Canapi,57530-000 a 57534-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Capela,57780-000 a 57799-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Carneiros,57535-000 a 57539-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Chã Preta,57760-000 a 57769-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Coité do Nóia,57325-000 a 57329-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Colônia Leopoldina,57975-000 a 57979-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Coqueiro Seco,57140-000 a 57149-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Coruripe,57230-000 a 57239-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Craíbas,57320-000 a 57324-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Delmiro Gouveia,57480-000 a 57489-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Dois Riachos,57560-000 a 57569-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Estrela de Alagoas,57625-000 a 57629-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Feira Grande,57340-000 a 57349-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Feliz Deserto,57220-000 a 57229-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Flexeiras,57995-000 a 57999-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Girau do Ponciano,57360-000 a 57369-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Ibateguara,57890-000 a 57899-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Igaci,57620-000 a 57624-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Igreja Nova,57280-000 a 57289-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Inhapi,57545-000 a 57549-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Jacaré dos Homens,57430-000 a 57434-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Jacuípe,57960-000 a 57964-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Japaratinga,57950-000 a 57954-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Jaramataia,57425-000 a 57429-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Jequiá da Praia,57255-000 a 57256-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Joaquim Gomes,57980-000 a 57989-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Jundiá,57965-000 a 57967-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Junqueiro,57270-000 a 57274-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Lagoa da Canoa,57330-000 a 57339-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Limoeiro de Anadia,57260-000 a 57264-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Maceió,57000-001 a 57099-999,Codificado por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Maceió,57000-001 a 57099-999,Codificada por logradouros,Exclusiva da sede urbana,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Major Isidoro,57580-000 a 57599-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Mar Vermelho,57730-000 a 57739-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Maragogi,57955-000 a 57959-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Maravilha,57520-000 a 57524-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Marechal Deodoro,57160-000 a 57179-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Maribondo,57670-000 a 57679-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Mata Grande,57540-000 a 57544-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Matriz de Camaragibe,57910-000 a 57919-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Messias,57990-000 a 57994-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Minador do Negrão,57615-000 a 57619-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Monteirópolis,57440-000 a 57441-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Murici,57820-000 a 57829-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Novo Lino,57970-000 a 57974-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
